,SMILES,CID,Unnamed: 2,f_inhibition_at_50_uM,f_avg_IC50,f_avg_pIC50,relative_solubility_at_20_uM,relative_solubility_at_100_uM,trypsin_IC50,LogP,MW,HBD,HBA,PSA,ROTB,AROM,FSP3,FC,QED
178,CS(=O)(=O)Nc1ccc(Cl)cc1C(=O)N1CCC(C2CCNC2)CC1,LON-WEI-b2874fec-3,,,99.5,,,,,2.1732,385.917,2,4,78.51,4,1,0.588235294,0,0.832133549
179,O=C1CCc2cc(C(=O)N3CCC(C4CCNC4)CC3)ccc2N1,LON-WEI-b2874fec-4,,,99.5,,,,,2.033,327.428,2,3,61.44,2,1,0.578947368,0,0.873653401
180,Cc1cc(C(=O)N2CCC(C3CCNC3)CC2)cc(S(=O)(=O)N(C)C)c1C,LON-WEI-b2874fec-5,,,99.5,,,,,2.01544,393.553,1,4,69.72,4,1,0.65,0,0.849649312
181,Cc1c(C(=O)N2CCC(C3CCNC3)CC2)cccc1-c1ccccn1,LON-WEI-b2874fec-6,,,99.5,,,,,3.51872,349.478,1,3,45.23,3,2,0.454545455,0,0.922094459
182,CCCOc1c(Cl)cc(C(=O)N2CCC(C3CCNC3)CC2)cc1OCC,LON-WEI-b2874fec-7,,,99.5,,,,,3.9892,394.943,1,4,50.8,7,1,0.666666667,0,0.759234989
183,CC(C)OCc1cc(C(=O)N2CCC(C3CCNC3)CC2)ccc1F,LON-WEI-b2874fec-8,,,99.5,,,,,3.2124,348.462,1,3,41.57,5,1,0.65,0,0.888332039
184,O=C(c1cccc(N2CCCNC2=O)c1)N1CCC(C2CCNC2)CC1,LON-WEI-b2874fec-9,,,99.5,,,,,2.068,356.47,2,3,64.68,3,1,0.6,0,0.871386369
185,CN1CCN(c2ccc(F)cc2C(=O)N2CCC(C3CCNC3)CC2)CC1,LON-WEI-b2874fec-10,,,99.5,,,,,2.0392,374.504,1,4,38.82,3,1,0.666666667,0,0.878898781
186,Cc1cc(C(=O)N2CCC(C3CCNC3)CC2)cc(C)c1OC(F)F,LON-WEI-b2874fec-11,,,99.5,,,,,3.36654,352.425,1,3,41.57,4,1,0.631578947,0,0.903359757
187,CS(=O)(=O)c1ccccc1C(=O)N1CCC(C2CCNC2)CC1,LON-WEI-b2874fec-12,,,99.5,,,,,1.5518,336.457,1,4,66.48,3,1,0.588235294,0,0.90942316
188,CCc1ccc(S(C)(=O)=O)cc1C(=O)N1CCC(C2CCNC2)CC1,LON-WEI-b2874fec-13,,,99.5,,,,,2.1142,364.511,1,4,66.48,4,1,0.631578947,0,0.888618314
189,O=C(c1ccc2[nH]c(C(F)F)nc2c1)N1CCC(C2CCNC2)CC1,LON-WEI-b2874fec-14,,,99.5,,,,,2.9622,348.397,2,3,61.02,3,2,0.555555556,0,0.896473546
190,O=C(Nc1ccccc1)[C@@H](c1ccccc1)N1Cc2ccccc2C1=O,LON-WEI-b2874fec-15,,,99.5,,,,,4.0224,342.398,1,2,49.41,4,3,0.090909091,0,0.778330638
191,O=C(Nc1ccc(Cl)cc1)[C@@H](c1ccccc1)N1Cc2ccccc2C1=O,LON-WEI-b2874fec-16,,,99.5,,,,,4.6758,376.843,1,2,49.41,4,3,0.090909091,0,0.718546322
192,Cc1cccc(NC(=O)[C@@H](c2ccccc2)N2Cc3ccccc3C2=O)n1,LON-WEI-b2874fec-17,,,99.5,,,,,3.72582,357.413,1,3,62.3,4,3,0.136363636,0,0.773896184
193,O=C(Nc1ccncc1)[C@@H](c1ccccc1)N1Cc2ccccc2C1=O,LON-WEI-b2874fec-18,,,99.5,,,,,3.4174,343.386,1,3,62.3,4,3,0.095238095,0,0.789458255
194,O=C(Nc1ccc(F)cc1)[C@@H](c1ccccc1)N1Cc2ccccc2C1=O,LON-WEI-b2874fec-19,,,99.5,,,,,4.1615,360.388,1,2,49.41,4,3,0.090909091,0,0.759425564
195,COCCNC(=O)[C@@H](c1ccccc1)N1Cc2ccccc2C1=O,LON-WEI-b2874fec-20,,,99.5,,,,,2.1463,324.38,1,3,58.64,6,2,0.263157895,0,0.82843067
196,O=C(NCC1=[SH]C=CC1)[C@@H](c1ccccc1)N1Cc2ccccc2C1=O,LON-WEI-b2874fec-21,,,99.5,,,,,3.0552,364.47,2,2,49.41,5,2,0.19047619,0,0.63282519
197,O=C(NCCc1ccccc1)[C@@H](c1ccccc1)N1Cc2ccccc2C1=O,LON-WEI-b2874fec-22,,,99.5,,,,,3.7426,370.452,1,2,49.41,6,3,0.166666667,0,0.718536204
